contract,openMarginRate,closeMarginRate,margin,isMainContract
jm2607,0.12,0.12,7862.4,0
jm2608,0.12,0.12,8161.2,0
jm2609,0.12,0.12,8571.6,1
jm2610,0.12,0.12,8794.8,0
jm2611,0.12,0.12,9000.0,0
jm2612,0.12,0.12,9151.2,0
jm2701,0.12,0.12,10429.2,0
jm2702,0.12,0.12,10530.0,0
jm2703,0.12,0.12,10645.2,0
l2606,0.11,0.11,4452.8,0
l2607,0.11,0.11,4471.0,0
l2608,0.11,0.11,4447.9,0
l2609,0.11,0.11,4406.6,1
l2610,0.07,0.07,2775.9,0
l2611,0.07,0.07,2761.5,0
l2612,0.07,0.07,2754.9,0
l2701,0.07,0.07,2744.7,0
l2702,0.07,0.07,2731.4,0
l2703,0.07,0.07,2718.8,0
lg2605,0.2,0.2,15102.0,0
lg2607,0.08,0.08,5821.2,1
lg2609,0.08,0.08,5886.0,0
lg2611,0.08,0.08,5911.2,0
lg2701,0.08,0.08,5947.2,0
lh2605,0.2,0.2,30464.0,0
lh2607,0.08,0.08,14105.6,1
lh2609,0.08,0.08,16032.0,0
lh2611,0.08,0.08,16524.8,0
lh2701,0.08,0.08,17280.0,0
m2607,0.07,0.07,1978.2,0
m2608,0.07,0.07,2085.3,0
m2609,0.07,0.07,2095.1,1
m2611,0.07,0.07,2114.0,0
m2612,0.07,0.07,2145.5,0
m2701,0.07,0.07,2135.0,0
m2703,0.07,0.07,2093.0,0
p2606,0.12,0.12,11158.8,0
p2607,0.08,0.08,7463.2,0
p2608,0.08,0.08,7543.2,0
p2609,0.08,0.08,7614.4,1
p2610,0.08,0.08,7669.6,0
p2611,0.08,0.08,7708.0,0
p2612,0.08,0.08,7746.4,0
p2701,0.08,0.08,7748.8,0
p2702,0.08,0.08,7751.2,0
p2703,0.08,0.08,7753.6,0
pg2605,0.2,0.2,25036.0,0
pg2606,0.16,0.16,19395.2,0
pg2607,0.16,0.16,19139.2,1
pg2608,0.16,0.16,18739.2,0
pg2609,0.16,0.16,18217.6,0
pg2610,0.11,0.11,13140.6,0
pg2611,0.11,0.11,12867.8,0
pg2612,0.11,0.11,12478.4,0
pg2701,0.11,0.11,12320.0,0
pg2702,0.11,0.11,11866.8,0
pp2606,0.11,0.11,5217.3,0
pp2607,0.11,0.11,5107.9,0
pp2608,0.11,0.11,4988.5,0
pp2609,0.11,0.11,4889.5,1
pp2610,0.07,0.07,3019.1,0
pp2611,0.07,0.07,2957.9,0
pp2612,0.07,0.07,2907.1,0
pp2701,0.07,0.07,2879.5,0
pp2702,0.07,0.07,2858.8,0
pp2703,0.07,0.07,2819.6,0
rr2606,0.06,0.06,2176.2,0
rr2607,0.06,0.06,2125.2,0
rr2608,0.06,0.06,2169.0,1
rr2609,0.06,0.06,2158.8,0
rr2610,0.06,0.06,2165.4,0
rr2611,0.06,0.06,2167.8,0
rr2612,0.06,0.06,2161.8,0
rr2701,0.06,0.06,2159.4,0
rr2702,0.06,0.06,2170.2,0
rr2703,0.06,0.06,2167.8,0
v2606,0.11,0.11,2605.9,0
v2607,0.11,0.11,2629.5,0
v2608,0.11,0.11,2653.2,0
v2609,0.11,0.11,2675.8,1
v2610,0.07,0.07,1716.8,0
v2611,0.07,0.07,1726.6,0
v2612,0.07,0.07,1739.5,0
v2701,0.07,0.07,1747.9,0
v2702,0.07,0.07,1759.1,0
v2703,0.07,0.07,1766.8,0
y2607,0.07,0.07,5945.8,0
y2608,0.07,0.07,5964.0,0
y2609,0.07,0.07,5975.9,1
y2611,0.07,0.07,5968.9,0
y2612,0.07,0.07,5967.5,0
y2701,0.07,0.07,5947.2,0
y2703,0.07,0.07,5881.4,0
lc2606,0.15,0.15,26010.0,0
lc2607,0.15,0.15,26151.0,0
lc2608,0.15,0.15,26580.0,0
lc2609,0.15,0.15,26640.0,1
