contract,longMarginRate,shortMarginRate,margin,isMainContract
bc2609,0.12,0.12,56580.0,0
bc2610,0.12,0.12,57072.0,0
bc2611,0.12,0.12,56274.0,0
bc2612,0.12,0.12,56280.0,0
bc2701,0.12,0.12,56460.0,0
bc2702,0.12,0.12,56460.0,0
bc2703,0.09,0.09,42300.0,0
bc2704,0.09,0.09,42660.0,0
bc2705,0.09,0.09,43101.0,0
ec2606,0.22,0.22,33253.0,0
ec2607,0.22,0.22,41415.0,1
ec2608,0.22,0.22,34452.0,0
ec2609,0.22,0.22,23765.5,0
ec2610,0.22,0.22,20784.5,0
ec2611,0.17,0.17,18190.0,0
ec2612,0.22,0.22,25388.0,0
ec2703,0.22,0.22,18700.0,0
lu2607,0.19,0.19,9260.6,1
lu2608,0.19,0.19,8966.1,0
lu2609,0.19,0.19,8711.5,0
lu2610,0.19,0.19,8510.1,0
lu2611,0.19,0.19,8344.8,0
lu2612,0.19,0.19,8196.6,0
lu2701,0.19,0.19,8122.5,0
lu2702,0.19,0.19,8000.9,0
lu2703,0.19,0.19,7959.1,0
lu2704,0.19,0.19,8035.1,0
lu2705,0.19,0.19,7943.9,0
lu2706,0.19,0.19,7809.0,0
nr2606,0.15,0.15,23565.0,0
nr2607,0.11,0.11,17385.5,1
nr2608,0.11,0.11,17451.5,0
nr2609,0.11,0.11,17440.5,0
nr2610,0.11,0.11,17484.5,0
nr2611,0.11,0.11,17633.0,0
nr2612,0.11,0.11,17660.5,0
nr2701,0.11,0.11,17699.0,0
nr2702,0.11,0.11,17754.0,0
nr2703,0.11,0.11,17891.5,0
nr2704,0.09,0.09,14580.0,0
nr2705,0.09,0.09,14620.5,0
sc2607,0.19,0.19,116240.1,1
sc2608,0.19,0.19,116335.1,0
sc2609,0.19,0.19,115900.0,0
sc2610,0.19,0.19,115045.0,0
sc2611,0.19,0.19,114171.0,0
sc2612,0.19,0.19,113430.0,0
sc2701,0.19,0.19,112366.0,0
sc2702,0.19,0.19,110903.0,0
sc2703,0.19,0.19,110333.0,0
sc2704,0.19,0.19,108965.0,0
sc2705,0.19,0.19,107500.1,0
sc2706,0.19,0.19,109839.0,0
sc2709,0.19,0.19,106001.0,0
sc2712,0.19,0.19,105125.1,0
sc2803,0.19,0.19,103550.0,0
sc2806,0.19,0.19,103550.0,0
sc2809,0.19,0.19,99218.0,0
sc2812,0.19,0.19,101895.1,0
sc2903,0.19,0.19,99425.1,0
sc2906,0.19,0.19,97869.0,0
IC2606,0.12,0.12,199540.8,1
IC2607,0.12,0.12,198028.8,0
IC2609,0.12,0.12,195211.2,0
IC2612,0.12,0.12,191304.0,0
IF2606,0.12,0.12,176896.8,1
IF2607,0.12,0.12,175420.8,0
IF2609,0.12,0.12,173448.0,0
IF2612,0.12,0.12,171410.0,0
IH2606,0.12,0.12,104680.8,1
IH2607,0.12,0.12,103572.0,0
IH2609,0.12,0.12,103039.2,0
IH2612,0.12,0.12,102348.0,0
IM2606,0.12,0.12,200841.6,1
IM2607,0.12,0.12,199099.0,0
IM2609,0.12,0.12,195345.6,0
IM2612,0.12,0.12,190070.4,0
T2606,0.03,0.03,32805.0,0
T2609,0.02,0.02,21840.0,1
T2612,0.02,0.02,21820.0,0
TF2606,0.02,0.02,21342.0,0
TF2609,0.012,0.012,12768.0,1
TF2612,0.012,0.012,12760.8,0
TL2606,0.05,0.05,57140.0,0
TL2609,0.035,0.035,39896.5,1
TL2612,0.035,0.035,39914.0,0
TS2606,0.01,0.01,20532.0,0
TS2609,0.005,0.005,10263.0,1
TS2612,0.005,0.005,10260.0,0
